"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","160026373.770","1.000","1.000","160026373.000","0.004","13.0"
"MCT","22273437.221","33.172","0.140","5308353450.000","0.931","16.0"
"MinMin","14798375.680","19.306","0.093","3089442767.000","0.816","34491.0"
"XSufferage","20086598.880","31.388","0.126","5022790534.000","0.977","85703.0"
"MinMean","14798375.680","20.648","0.093","3304199400.000","0.873","46482.0"
"MaxMin","20755499.251","33.190","0.130","5311260749.000","1.000","58336.0"
"MinVar","14798375.680","22.546","0.093","3607860585.000","0.953","41747.0"
"OLB","33653093.940","43.536","0.211","6966825538.000","0.809","17.0"
"MinMax","20346722.600","32.530","0.128","5205586892.000","1.000","40494.0"
"MinMax2","20498500.870","32.201","0.129","5152912943.000","0.982","41840.0"
