"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","266264.000","5579541.000","1.000","0.655","4.0"
"MCT","245702.000","7465119.000","0.923","0.950","1.0"
"MinMin","227372.000","5787108.000","0.854","0.796","59.0"
"XSufferage","200612.000","6005586.000","0.754","0.936","100.0"
"MinMean","226287.000","5970115.000","0.850","0.825","59.0"
"MaxMin","448012.000","14231329.000","1.683","0.993","75.0"
"MinVar","199323.000","6179850.000","0.749","0.969","19.0"
"OLB","2595108.000","78769400.000","9.747","0.949","0.0"
"MinMax","239311.000","7595853.000","0.899","0.992","124.0"
