"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","390516.267","6.890%","1.000","1.000","8780898.910","1.571%","0.706","6.246%","0.13","320.041%"
"MCT","300016.235","1.554%","1.063","0.769","9325924.700","1.592%","0.972","0.417%","0.15","272.846%"
"MinMin","285720.719","1.586%","1.009","0.732","8858280.580","1.551%","0.969","0.343%","18.52","35.519%"
"XSufferage","280137.728","1.554%","1.016","0.718","8914263.200","1.580%","0.995","0.134%","48.75","21.696%"
"MinMean","283994.428","1.612%","1.010","0.728","8865225.800","1.549%","0.976","0.448%","19.77","25.239%"
"MaxMin","314241.372","1.690%","1.143","0.805","10029489.270","1.683%","0.998","0.065%","35.0","23.544%"
"MinVar","281247.937","1.546%","1.011","0.721","8876157.080","1.547%","0.987","0.094%","19.77","23.691%"
"OLB","328820.991","1.531%","1.164","0.843","10216269.180","1.596%","0.971","0.555%","0.11","284.446%"
"MinMax","290133.090","1.609%","1.055","0.743","9259134.560","1.609%","0.998","0.050%","56.33","12.473%"
